# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.72            	p               	3.79412117e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94526170e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.74            	p               	3.82655349e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94517202e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.76            	p               	3.85018617e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94509257e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.78            	p               	3.91227355e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94799387e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.8             	p               	3.89609487e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94882999e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.82            	p               	3.94800309e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94553891e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.84            	p               	3.92665284e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94561803e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.86            	p               	3.95063506e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94439131e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.88            	p               	3.96017640e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94718218e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.9             	p               	3.94224939e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94923467e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.92            	p               	3.97720240e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94648624e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.94            	p               	3.92634539e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94537244e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.96            	p               	3.97538502e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94488703e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.98            	p               	3.92660014e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94595953e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1               	p               	3.96065181e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94869016e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
1.02            	p               	3.96003017e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94787996e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
