# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.72            	p               	3.52107219e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95184835e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.74            	p               	3.54426154e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95242953e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.76            	p               	3.56888546e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95333283e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.78            	p               	3.59627491e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95403996e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.8             	p               	3.62574704e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95413401e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.82            	p               	3.65498456e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95349992e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.84            	p               	3.68186629e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95230365e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.86            	p               	3.70628582e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95091153e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.88            	p               	3.72997987e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94981913e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.9             	p               	3.75448718e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94946977e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.92            	p               	3.77954307e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94996650e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.94            	p               	3.80309598e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95096838e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.96            	p               	3.82261152e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95193612e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.98            	p               	3.83690413e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95249670e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1               	p               	3.84730258e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95260465e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.02            	p               	3.85680596e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95243991e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.04            	p               	3.86770704e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95219897e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.06            	p               	3.88010061e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95195513e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.08            	p               	3.89242506e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95166800e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.1             	p               	3.90291636e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95128858e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.12            	p               	3.91074024e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95085127e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.14            	p               	3.91629343e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95049142e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.16            	p               	3.92061932e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95038109e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.18            	p               	3.92441626e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95061307e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.2             	p               	3.92745531e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95111448e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.22            	p               	3.92896005e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95167486e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.24            	p               	3.92866100e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95207497e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.26            	p               	3.92751265e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95220556e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.28            	p               	3.92735943e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95209271e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.3             	p               	3.92978196e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95184211e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.32            	p               	3.93485873e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95156509e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.34            	p               	3.94067449e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95133305e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.36            	p               	3.94425444e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95117032e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.38            	p               	3.94379163e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95107295e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.4             	p               	3.94038700e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95103271e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.42            	p               	3.93717250e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95105008e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.44            	p               	3.93663093e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95113021e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.46            	p               	3.93878857e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95126732e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.48            	p               	3.94145238e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95143255e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.5             	p               	3.94208527e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95157824e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.52            	p               	3.94000915e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95165813e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.54            	p               	3.93710241e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95164943e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.56            	p               	3.93627717e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95156171e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.58            	p               	3.93886371e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95142960e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.6             	p               	3.94313856e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95129619e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.62            	p               	3.94529235e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95119601e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.64            	p               	3.94256159e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95114517e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.66            	p               	3.93595977e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95114131e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.68            	p               	3.92977579e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95117118e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.7             	p               	3.92879227e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95121986e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.72            	p               	3.93509039e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95127674e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.74            	p               	3.94587060e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95133560e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.76            	p               	3.95421539e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95139103e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.78            	p               	3.95387120e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95143598e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.8             	p               	3.94510586e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95146283e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.82            	p               	3.93381012e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95146658e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.84            	p               	3.92608795e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95144740e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.86            	p               	3.92566997e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95141102e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.88            	p               	3.93304485e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95136696e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.9             	p               	3.94466049e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95132590e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.92            	p               	3.95358905e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95129723e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.94            	p               	3.95332075e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95128734e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.96            	p               	3.94375942e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95129876e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.98            	p               	3.93134126e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95132982e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2               	p               	3.92240772e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95137490e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.02            	p               	3.91984464e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95142556e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.04            	p               	3.92369714e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95147235e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.06            	p               	3.93201765e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95150690e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.08            	p               	3.94119247e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95152368e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
