# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.48            	3.78189333e-02	1.89094666e-02	1.89094666e-02	-3.85189915e-01	-1.49881146e-01	-2.35308769e-01	4.27138117e-02	1.78186130e-19	1.74947710e-20	0.00000000e+00	1.74947710e-20	-1.74947710e-20
0.5             	3.78534594e-02	1.89267297e-02	1.89267297e-02	-3.86307962e-01	-1.50108059e-01	-2.36199903e-01	4.30459223e-02	1.78703331e-19	1.75107426e-20	0.00000000e+00	1.75107426e-20	-1.75107426e-20
0.52            	3.78879877e-02	1.89439939e-02	1.89439939e-02	-3.87380054e-01	-1.50332977e-01	-2.37047077e-01	4.33570498e-02	1.79199273e-19	1.75267151e-20	0.00000000e+00	1.75267151e-20	-1.75267151e-20
0.54            	3.79011621e-02	1.89505810e-02	1.89505810e-02	-3.88442561e-01	-1.50532565e-01	-2.37909996e-01	4.36887156e-02	1.79690781e-19	1.75328095e-20	0.00000000e+00	1.75328095e-20	-1.75328095e-20
0.56            	3.78914648e-02	1.89457324e-02	1.89457324e-02	-3.89461972e-01	-1.50697842e-01	-2.38764131e-01	4.40331446e-02	1.80162354e-19	1.75283236e-20	0.00000000e+00	1.75283236e-20	-1.75283236e-20
0.58            	3.78779265e-02	1.89389632e-02	1.89389632e-02	-3.90414896e-01	-1.50853998e-01	-2.39560898e-01	4.43534498e-02	1.80603169e-19	1.75220609e-20	0.00000000e+00	1.75220609e-20	-1.75220609e-20
0.6             	3.78577500e-02	1.89288750e-02	1.89288750e-02	-3.91360277e-01	-1.51003642e-01	-2.40356635e-01	4.46764964e-02	1.81040496e-19	1.75127274e-20	0.00000000e+00	1.75127274e-20	-1.75127274e-20
0.62            	3.78113203e-02	1.89056601e-02	1.89056601e-02	-3.92279998e-01	-1.51114148e-01	-2.41165849e-01	4.50258507e-02	1.81465952e-19	1.74912493e-20	0.00000000e+00	1.74912493e-20	-1.74912493e-20
0.64            	3.77458843e-02	1.88729422e-02	1.88729422e-02	-3.93063159e-01	-1.51187345e-01	-2.41875814e-01	4.53442347e-02	1.81828237e-19	1.74609791e-20	0.00000000e+00	1.74609791e-20	-1.74609791e-20
0.66            	3.76727985e-02	1.88363992e-02	1.88363992e-02	-3.93779560e-01	-1.51253515e-01	-2.42526045e-01	4.56362650e-02	1.82159639e-19	1.74271701e-20	0.00000000e+00	1.74271701e-20	-1.74271701e-20
0.68            	3.75994807e-02	1.87997404e-02	1.87997404e-02	-3.94556505e-01	-1.51325093e-01	-2.43231411e-01	4.59531590e-02	1.82519048e-19	1.73932538e-20	0.00000000e+00	1.73932538e-20	-1.73932538e-20
0.7             	3.75227949e-02	1.87613974e-02	1.87613974e-02	-3.95275054e-01	-1.51375637e-01	-2.43899417e-01	4.62618899e-02	1.82851444e-19	1.73577795e-20	0.00000000e+00	1.73577795e-20	-1.73577795e-20
0.72            	3.74397328e-02	1.87198664e-02	1.87198664e-02	-3.95813941e-01	-1.51394995e-01	-2.44418947e-01	4.65119760e-02	1.83100730e-19	1.73193556e-20	0.00000000e+00	1.73193556e-20	-1.73193556e-20
0.74            	3.73481609e-02	1.86740805e-02	1.86740805e-02	-3.96370378e-01	-1.51416396e-01	-2.44953982e-01	4.67687926e-02	1.83358133e-19	1.72769951e-20	0.00000000e+00	1.72769951e-20	-1.72769951e-20
0.76            	3.72613795e-02	1.86306897e-02	1.86306897e-02	-3.96993662e-01	-1.51439413e-01	-2.45554249e-01	4.70574183e-02	1.83646460e-19	1.72368506e-20	0.00000000e+00	1.72368506e-20	-1.72368506e-20
0.78            	3.71934018e-02	1.85967009e-02	1.85967009e-02	-3.97539353e-01	-1.51459526e-01	-2.46079827e-01	4.73101509e-02	1.83898893e-19	1.72054046e-20	0.00000000e+00	1.72054046e-20	-1.72054046e-20
0.8             	3.71313211e-02	1.85656606e-02	1.85656606e-02	-3.98033993e-01	-1.51489253e-01	-2.46544740e-01	4.75277432e-02	1.84127710e-19	1.71766865e-20	0.00000000e+00	1.71766865e-20	-1.71766865e-20
0.82            	3.70514995e-02	1.85257497e-02	1.85257497e-02	-3.98589605e-01	-1.51506729e-01	-2.47082876e-01	4.77880732e-02	1.84384732e-19	1.71397616e-20	0.00000000e+00	1.71397616e-20	-1.71397616e-20
0.84            	3.69585402e-02	1.84792701e-02	1.84792701e-02	-3.99100039e-01	-1.51479956e-01	-2.47620082e-01	4.80700631e-02	1.84620855e-19	1.70967593e-20	0.00000000e+00	1.70967593e-20	-1.70967593e-20
0.86            	3.68720253e-02	1.84360127e-02	1.84360127e-02	-3.99468170e-01	-1.51429670e-01	-2.48038500e-01	4.83044147e-02	1.84791150e-19	1.70567381e-20	0.00000000e+00	1.70567381e-20	-1.70567381e-20
0.88            	3.67909778e-02	1.83954889e-02	1.83954889e-02	-3.99856571e-01	-1.51395032e-01	-2.48461539e-01	4.85332534e-02	1.84970822e-19	1.70192461e-20	0.00000000e+00	1.70192461e-20	-1.70192461e-20
0.9             	3.67182479e-02	1.83591239e-02	1.83591239e-02	-4.00352990e-01	-1.51384522e-01	-2.48968467e-01	4.87919723e-02	1.85200461e-19	1.69856018e-20	0.00000000e+00	1.69856018e-20	-1.69856018e-20
0.92            	3.66553720e-02	1.83276860e-02	1.83276860e-02	-4.00803982e-01	-1.51373034e-01	-2.49430949e-01	4.90289577e-02	1.85409087e-19	1.69565158e-20	0.00000000e+00	1.69565158e-20	-1.69565158e-20
