# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.68            	3.78413447e-02	1.89206723e-02	1.89206723e-02	-3.94395918e-01	-1.51133813e-01	-2.43262105e-01	4.60641457e-02	-3.23773615e-20	-3.09577559e-21	0.00000000e+00	-3.09577559e-21	3.09577559e-21
0.7             	3.77574873e-02	1.88787437e-02	1.88787437e-02	-3.95036163e-01	-1.51174192e-01	-2.43861971e-01	4.63438898e-02	-3.24571719e-20	-3.08862042e-21	0.00000000e+00	-3.08862042e-21	3.08862042e-21
0.72            	3.76755111e-02	1.88377555e-02	1.88377555e-02	-3.95679501e-01	-1.51237339e-01	-2.44442163e-01	4.66024120e-02	-3.25701876e-20	-3.08830360e-21	0.00000000e+00	-3.08830360e-21	3.08830360e-21
0.74            	3.75807594e-02	1.87903797e-02	1.87903797e-02	-3.96263670e-01	-1.51256334e-01	-2.45007336e-01	4.68755010e-02	-3.26236590e-20	-3.07591845e-21	0.00000000e+00	-3.07591845e-21	3.07591845e-21
0.76            	3.74793268e-02	1.87396634e-02	1.87396634e-02	-3.96814897e-01	-1.51267725e-01	-2.45547172e-01	4.71397233e-02	-3.27019657e-20	-3.06705990e-21	0.00000000e+00	-3.06705990e-21	3.06705990e-21
0.78            	3.73903772e-02	1.86951886e-02	1.86951886e-02	-3.97381174e-01	-1.51291378e-01	-2.46089796e-01	4.73992092e-02	-3.27564836e-20	-3.05833261e-21	0.00000000e+00	-3.05833261e-21	3.05833261e-21
0.8             	3.72931661e-02	1.86465831e-02	1.86465831e-02	-3.97875185e-01	-1.51279390e-01	-2.46595794e-01	4.76582021e-02	-3.27754745e-20	-3.04784719e-21	0.00000000e+00	-3.04784719e-21	3.04784719e-21
0.82            	3.72145492e-02	1.86072746e-02	1.86072746e-02	-3.98399388e-01	-1.51304232e-01	-2.47095156e-01	4.78954621e-02	-3.28236124e-20	-3.04848395e-21	0.00000000e+00	-3.04848395e-21	3.04848395e-21
0.84            	3.71296962e-02	1.85648481e-02	1.85648481e-02	-3.98851072e-01	-1.51283590e-01	-2.47567482e-01	4.81419462e-02	-3.28102275e-20	-3.04304266e-21	0.00000000e+00	-3.04304266e-21	3.04304266e-21
0.86            	3.70489313e-02	1.85244656e-02	1.85244656e-02	-3.99287574e-01	-1.51269854e-01	-2.48017719e-01	4.83739324e-02	-3.28324768e-20	-3.04693473e-21	0.00000000e+00	-3.04693473e-21	3.04693473e-21
