# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.7             	3.78007532e-02	1.89003766e-02	1.89003766e-02	-3.94880959e-01	-1.51166326e-01	-2.43714633e-01	4.62741532e-02	-1.46507915e-19	-1.38689786e-20	0.00000000e+00	-1.38689786e-20	1.38689786e-20
0.72            	3.77143508e-02	1.88571754e-02	1.88571754e-02	-3.95510254e-01	-1.51213551e-01	-2.44296703e-01	4.65415757e-02	-1.46743794e-19	-1.38369012e-20	0.00000000e+00	-1.38369012e-20	1.38369012e-20
0.74            	3.76180168e-02	1.88090084e-02	1.88090084e-02	-3.96106499e-01	-1.51244210e-01	-2.44862289e-01	4.68090394e-02	-1.46992297e-19	-1.37968519e-20	0.00000000e+00	-1.37968519e-20	1.37968519e-20
0.76            	3.75216667e-02	1.87608333e-02	1.87608333e-02	-3.96684516e-01	-1.51271862e-01	-2.45412653e-01	4.70703955e-02	-1.47222514e-19	-1.37566172e-20	0.00000000e+00	-1.37566172e-20	1.37566172e-20
0.78            	3.74266838e-02	1.87133419e-02	1.87133419e-02	-3.97217527e-01	-1.51280700e-01	-2.45936827e-01	4.73280637e-02	-1.47414835e-19	-1.37215832e-20	0.00000000e+00	-1.37215832e-20	1.37215832e-20
0.8             	3.73331953e-02	1.86665977e-02	1.86665977e-02	-3.97710537e-01	-1.51271762e-01	-2.46438775e-01	4.75835069e-02	-1.47593364e-19	-1.36898834e-20	0.00000000e+00	-1.36898834e-20	1.36898834e-20
0.82            	3.72455607e-02	1.86227804e-02	1.86227804e-02	-3.98199424e-01	-1.51267860e-01	-2.46931564e-01	4.78318521e-02	-1.47798042e-19	-1.36566928e-20	0.00000000e+00	-1.36566928e-20	1.36566928e-20
0.84            	3.71637743e-02	1.85818871e-02	1.85818871e-02	-3.98683182e-01	-1.51268029e-01	-2.47415152e-01	4.80735614e-02	-1.47978285e-19	-1.36246390e-20	0.00000000e+00	-1.36246390e-20	1.36246390e-20
0.86            	3.70861253e-02	1.85430627e-02	1.85430627e-02	-3.99131291e-01	-1.51256411e-01	-2.47874879e-01	4.83092341e-02	-1.48121989e-19	-1.35988907e-20	0.00000000e+00	-1.35988907e-20	1.35988907e-20
0.88            	3.70142277e-02	1.85071138e-02	1.85071138e-02	-3.99557318e-01	-1.51244223e-01	-2.48313096e-01	4.85344364e-02	-1.48257271e-19	-1.35747325e-20	0.00000000e+00	-1.35747325e-20	1.35747325e-20
0.9             	3.69438106e-02	1.84719053e-02	1.84719053e-02	-3.99964497e-01	-1.51227820e-01	-2.48736678e-01	4.87544291e-02	-1.48405613e-19	-1.35475714e-20	0.00000000e+00	-1.35475714e-20	1.35475714e-20
0.92            	3.68741465e-02	1.84370732e-02	1.84370732e-02	-4.00326220e-01	-1.51194576e-01	-2.49131644e-01	4.89685337e-02	-1.48532787e-19	-1.35238964e-20	0.00000000e+00	-1.35238964e-20	1.35238964e-20
0.94            	3.68099667e-02	1.84049833e-02	1.84049833e-02	-4.00667500e-01	-1.51159799e-01	-2.49507701e-01	4.91739510e-02	-1.48637552e-19	-1.35076309e-20	0.00000000e+00	-1.35076309e-20	1.35076309e-20
0.96            	3.67534674e-02	1.83767337e-02	1.83767337e-02	-4.01003231e-01	-1.51135352e-01	-2.49867879e-01	4.93662634e-02	-1.48748963e-19	-1.34893481e-20	0.00000000e+00	-1.34893481e-20	1.34893481e-20
0.98            	3.66986806e-02	1.83493403e-02	1.83493403e-02	-4.01326755e-01	-1.51109781e-01	-2.50216974e-01	4.95535965e-02	-1.48863752e-19	-1.34681626e-20	0.00000000e+00	-1.34681626e-20	1.34681626e-20
1               	3.66486303e-02	1.83243152e-02	1.83243152e-02	-4.01622258e-01	-1.51081958e-01	-2.50540300e-01	4.97291707e-02	-1.48955334e-19	-1.34518126e-20	0.00000000e+00	-1.34518126e-20	1.34518126e-20
1.02            	3.66039654e-02	1.83019827e-02	1.83019827e-02	-4.01894044e-01	-1.51054893e-01	-2.50839151e-01	4.98921288e-02	-1.49014349e-19	-1.34406292e-20	0.00000000e+00	-1.34406292e-20	1.34406292e-20
1.04            	3.65591264e-02	1.82795632e-02	1.82795632e-02	-4.02126768e-01	-1.51014545e-01	-2.51112223e-01	5.00488389e-02	-1.49090036e-19	-1.34257557e-20	0.00000000e+00	-1.34257557e-20	1.34257557e-20
1.06            	3.65158384e-02	1.82579192e-02	1.82579192e-02	-4.02338522e-01	-1.50972727e-01	-2.51365795e-01	5.01965344e-02	-1.49173785e-19	-1.34119295e-20	0.00000000e+00	-1.34119295e-20	1.34119295e-20
1.08            	3.64806720e-02	1.82403360e-02	1.82403360e-02	-4.02542591e-01	-1.50942542e-01	-2.51600049e-01	5.03287535e-02	-1.49232697e-19	-1.34042433e-20	0.00000000e+00	-1.34042433e-20	1.34042433e-20
1.1             	3.64513632e-02	1.82256816e-02	1.82256816e-02	-4.02727225e-01	-1.50916422e-01	-2.51810803e-01	5.04471903e-02	-1.49260670e-19	-1.33982427e-20	0.00000000e+00	-1.33982427e-20	1.33982427e-20
1.12            	3.64239242e-02	1.82119621e-02	1.82119621e-02	-4.02889978e-01	-1.50888940e-01	-2.52001038e-01	5.05560488e-02	-1.49308562e-19	-1.33895968e-20	0.00000000e+00	-1.33895968e-20	1.33895968e-20
1.14            	3.64014232e-02	1.82007116e-02	1.82007116e-02	-4.03039109e-01	-1.50871182e-01	-2.52167928e-01	5.06483731e-02	-1.49340681e-19	-1.33833886e-20	0.00000000e+00	-1.33833886e-20	1.33833886e-20
1.16            	3.63817779e-02	1.81908890e-02	1.81908890e-02	-4.03144922e-01	-1.50846259e-01	-2.52298663e-01	5.07262020e-02	-1.49333390e-19	-1.33833995e-20	0.00000000e+00	-1.33833995e-20	1.33833995e-20
1.18            	3.63651425e-02	1.81825713e-02	1.81825713e-02	-4.03201678e-01	-1.50814844e-01	-2.52386834e-01	5.07859947e-02	-1.49322704e-19	-1.33848663e-20	0.00000000e+00	-1.33848663e-20	1.33848663e-20
1.2             	3.63543013e-02	1.81771507e-02	1.81771507e-02	-4.03253569e-01	-1.50800766e-01	-2.52452803e-01	5.08260182e-02	-1.49343466e-19	-1.33840814e-20	0.00000000e+00	-1.33840814e-20	1.33840814e-20
1.22            	3.63508937e-02	1.81754469e-02	1.81754469e-02	-4.03292591e-01	-1.50801752e-01	-2.52490839e-01	5.08445436e-02	-1.49346175e-19	-1.33835077e-20	0.00000000e+00	-1.33835077e-20	1.33835077e-20
