# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.48            	3.77282162e-02	1.88641081e-02	1.88641081e-02	-3.89026850e-01	-1.51027692e-01	-2.37999158e-01	4.34857330e-02	1.79961069e-19	1.74528060e-20	0.00000000e+00	1.74528060e-20	-1.74528060e-20
0.5             	3.77850537e-02	1.88925268e-02	1.88925268e-02	-3.89934004e-01	-1.51246708e-01	-2.38687296e-01	4.37202940e-02	1.80380712e-19	1.74790986e-20	0.00000000e+00	1.74790986e-20	-1.74790986e-20
0.52            	3.78164498e-02	1.89082249e-02	1.89082249e-02	-3.90885665e-01	-1.51441602e-01	-2.39444063e-01	4.40012308e-02	1.80820944e-19	1.74936222e-20	0.00000000e+00	1.74936222e-20	-1.74936222e-20
0.54            	3.78241029e-02	1.89120514e-02	1.89120514e-02	-3.91850178e-01	-1.51613885e-01	-2.40236293e-01	4.43112041e-02	1.81267121e-19	1.74971624e-20	0.00000000e+00	1.74971624e-20	-1.74971624e-20
0.56            	3.78116322e-02	1.89058161e-02	1.89058161e-02	-3.92790959e-01	-1.51766568e-01	-2.41024390e-01	4.46289111e-02	1.81702319e-19	1.74913936e-20	0.00000000e+00	1.74913936e-20	-1.74913936e-20
0.58            	3.77832543e-02	1.88916271e-02	1.88916271e-02	-3.93673469e-01	-1.51903433e-01	-2.41770036e-01	4.49333013e-02	1.82110562e-19	1.74782662e-20	0.00000000e+00	1.74782662e-20	-1.74782662e-20
0.6             	3.77435927e-02	1.88717963e-02	1.88717963e-02	-3.94489009e-01	-1.52026902e-01	-2.42462107e-01	4.52176021e-02	1.82487825e-19	1.74599190e-20	0.00000000e+00	1.74599190e-20	-1.74599190e-20
0.62            	3.76953871e-02	1.88476936e-02	1.88476936e-02	-3.95257337e-01	-1.52134487e-01	-2.43122850e-01	4.54941815e-02	1.82843248e-19	1.74376195e-20	0.00000000e+00	1.74376195e-20	-1.74376195e-20
0.64            	3.76404213e-02	1.88202106e-02	1.88202106e-02	-3.96009731e-01	-1.52224148e-01	-2.43785583e-01	4.57807179e-02	1.83191300e-19	1.74121926e-20	0.00000000e+00	1.74121926e-20	-1.74121926e-20
0.66            	3.75794894e-02	1.87897447e-02	1.87897447e-02	-3.96747561e-01	-1.52295809e-01	-2.44451752e-01	4.60779720e-02	1.83532616e-19	1.73840060e-20	0.00000000e+00	1.73840060e-20	-1.73840060e-20
0.68            	3.75164589e-02	1.87582294e-02	1.87582294e-02	-3.97453753e-01	-1.52354577e-01	-2.45099176e-01	4.63722995e-02	1.83859295e-19	1.73548485e-20	0.00000000e+00	1.73548485e-20	-1.73548485e-20
0.7             	3.74555444e-02	1.87277722e-02	1.87277722e-02	-3.98116440e-01	-1.52406842e-01	-2.45709597e-01	4.66513774e-02	1.84165849e-19	1.73266699e-20	0.00000000e+00	1.73266699e-20	-1.73266699e-20
0.72            	3.73982158e-02	1.86991079e-02	1.86991079e-02	-3.98741949e-01	-1.52456301e-01	-2.46285648e-01	4.69146736e-02	1.84455205e-19	1.73001501e-20	0.00000000e+00	1.73001501e-20	-1.73001501e-20
0.74            	3.73424303e-02	1.86712152e-02	1.86712152e-02	-3.99345717e-01	-1.52502717e-01	-2.46843000e-01	4.71701412e-02	1.84734504e-19	1.72743442e-20	0.00000000e+00	1.72743442e-20	-1.72743442e-20
0.76            	3.72844260e-02	1.86422130e-02	1.86422130e-02	-3.99936612e-01	-1.52542912e-01	-2.47393700e-01	4.74253938e-02	1.85007848e-19	1.72475118e-20	0.00000000e+00	1.72475118e-20	-1.72475118e-20
0.78            	3.72210233e-02	1.86105117e-02	1.86105117e-02	-4.00510303e-01	-1.52572145e-01	-2.47938158e-01	4.76830067e-02	1.85273233e-19	1.72181821e-20	0.00000000e+00	1.72181821e-20	-1.72181821e-20
0.8             	3.71511128e-02	1.85755564e-02	1.85755564e-02	-4.01053656e-01	-1.52585839e-01	-2.48467818e-01	4.79409895e-02	1.85524585e-19	1.71858420e-20	0.00000000e+00	1.71858420e-20	-1.71858420e-20
0.82            	3.70759716e-02	1.85379858e-02	1.85379858e-02	-4.01552785e-01	-1.52581581e-01	-2.48971204e-01	4.81948114e-02	1.85755478e-19	1.71510822e-20	0.00000000e+00	1.71510822e-20	-1.71510822e-20
0.84            	3.69988411e-02	1.84994205e-02	1.84994205e-02	-4.01998758e-01	-1.52560697e-01	-2.49438062e-01	4.84386825e-02	1.85961782e-19	1.71154022e-20	0.00000000e+00	1.71154022e-20	-1.71154022e-20
0.86            	3.69249956e-02	1.84624978e-02	1.84624978e-02	-4.02390468e-01	-1.52528848e-01	-2.49861620e-01	4.86663863e-02	1.86142984e-19	1.70812418e-20	0.00000000e+00	1.70812418e-20	-1.70812418e-20
0.88            	3.68602526e-02	1.84301263e-02	1.84301263e-02	-4.02736193e-01	-1.52494956e-01	-2.50241237e-01	4.88731402e-02	1.86302914e-19	1.70512922e-20	0.00000000e+00	1.70512922e-20	-1.70512922e-20
