# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.48            	3.78939363e-02	1.89469681e-02	1.89469681e-02	-3.85267821e-01	-1.49654123e-01	-2.35613698e-01	4.29797873e-02	1.15271097e-19	1.08780528e-20	0.00000000e+00	1.08780528e-20	-1.08780528e-20
0.5             	3.79391986e-02	1.89695993e-02	1.89695993e-02	-3.86415911e-01	-1.49901216e-01	-2.36514696e-01	4.33067401e-02	1.15497533e-19	1.08686824e-20	0.00000000e+00	1.08686824e-20	-1.08686824e-20
0.52            	3.79620613e-02	1.89810306e-02	1.89810306e-02	-3.87525077e-01	-1.50113486e-01	-2.37411592e-01	4.36490529e-02	1.15716042e-19	1.08567192e-20	0.00000000e+00	1.08567192e-20	-1.08567192e-20
0.54            	3.79850684e-02	1.89925342e-02	1.89925342e-02	-3.88557047e-01	-1.50310489e-01	-2.38246558e-01	4.39680342e-02	1.15892942e-19	1.08573313e-20	0.00000000e+00	1.08573313e-20	-1.08573313e-20
0.56            	3.79776630e-02	1.89888315e-02	1.89888315e-02	-3.89579975e-01	-1.50476293e-01	-2.39103682e-01	4.43136944e-02	1.16171404e-19	1.08370211e-20	0.00000000e+00	1.08370211e-20	-1.08370211e-20
0.58            	3.79748141e-02	1.89874070e-02	1.89874070e-02	-3.90551103e-01	-1.50645916e-01	-2.39905187e-01	4.46296353e-02	1.16343611e-19	1.08394392e-20	0.00000000e+00	1.08394392e-20	-1.08394392e-20
0.6             	3.79562914e-02	1.89781457e-02	1.89781457e-02	-3.91502880e-01	-1.50787450e-01	-2.40715430e-01	4.49639901e-02	1.16629759e-19	1.08198596e-20	0.00000000e+00	1.08198596e-20	-1.08198596e-20
0.62            	3.79190425e-02	1.89595212e-02	1.89595212e-02	-3.92349520e-01	-1.50890060e-01	-2.41459461e-01	4.52847006e-02	1.16810120e-19	1.08095628e-20	0.00000000e+00	1.08095628e-20	-1.08095628e-20
0.64            	3.78761608e-02	1.89380804e-02	1.89380804e-02	-3.93144706e-01	-1.50990845e-01	-2.42153861e-01	4.55815076e-02	1.17036301e-19	1.07982677e-20	0.00000000e+00	1.07982677e-20	-1.07982677e-20
0.66            	3.78073371e-02	1.89036685e-02	1.89036685e-02	-3.93895601e-01	-1.51062584e-01	-2.42833018e-01	4.58852170e-02	1.17273352e-19	1.07791371e-20	0.00000000e+00	1.07791371e-20	-1.07791371e-20
0.68            	3.77399251e-02	1.88699626e-02	1.88699626e-02	-3.94597441e-01	-1.51136849e-01	-2.43460593e-01	4.61618719e-02	1.17432116e-19	1.07732369e-20	0.00000000e+00	1.07732369e-20	-1.07732369e-20
0.7             	3.76679014e-02	1.88339507e-02	1.88339507e-02	-3.95333140e-01	-1.51216809e-01	-2.44116331e-01	4.64497611e-02	1.17684642e-19	1.07471689e-20	0.00000000e+00	1.07471689e-20	-1.07471689e-20
0.72            	3.75848105e-02	1.87924052e-02	1.87924052e-02	-3.95937292e-01	-1.51241369e-01	-2.44695923e-01	4.67272773e-02	1.17786153e-19	1.07345516e-20	0.00000000e+00	1.07345516e-20	-1.07345516e-20
