# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.005         	rho           	1.399186e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.929552e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.005         	p             	9.992925e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.580685e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00525       	rho           	1.398981e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.956979e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00525       	p             	9.990518e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.642661e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0055        	rho           	1.398859e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.969703e+00	(2.952706e-01 8.003354e-02 -3.627490e-20)	4
0.0055        	p             	9.989193e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.672508e+00	(2.990805e-01 8.104165e-02 4.499130e-19)	4
0.00575       	rho           	1.398819e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.977595e+00	(2.952706e-01 8.003354e-02 -3.627490e-20)	4
0.00575       	p             	9.988839e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.690584e+00	(2.952706e-01 8.003354e-02 -3.627490e-20)	4
0.006         	rho           	1.398853e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.975517e+00	(2.876507e-01 7.801732e-02 1.148003e-19)	4
0.006         	p             	9.989332e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.688264e+00	(2.876507e-01 7.801732e-02 1.148003e-19)	4
0.00625       	rho           	1.398949e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.974036e+00	(2.724109e-01 7.398488e-02 7.445588e-20)	4
0.00625       	p             	9.990503e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.684946e+00	(2.724109e-01 7.398488e-02 7.445588e-20)	4
0.0065        	rho           	1.399087e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.972907e+00	(2.609811e-01 7.096055e-02 2.574313e-20)	4
0.0065        	p             	9.992137e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.683244e+00	(2.609811e-01 7.096055e-02 2.574313e-20)	4
0.00675       	rho           	1.399246e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.972354e+00	(2.495512e-01 6.793621e-02 3.734462e-20)	4
0.00675       	p             	9.993991e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.682556e+00	(2.495512e-01 6.793621e-02 3.734462e-20)	4
0.007         	rho           	1.399405e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.971765e+00	(2.343114e-01 6.390375e-02 8.873400e-21)	5
0.007         	p             	9.995823e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.681770e+00	(2.381213e-01 6.491187e-02 2.711123e-19)	5
0.00725       	rho           	1.399543e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.971332e+00	(2.228815e-01 6.087941e-02 -1.803750e-19)	5
0.00725       	p             	9.997468e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.681020e+00	(2.266915e-01 6.188752e-02 -1.669193e-20)	5
0.0075        	rho           	1.399646e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.970909e+00	(2.114516e-01 5.785506e-02 -3.234490e-19)	5
0.0075        	p             	9.998672e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.680297e+00	(2.152616e-01 5.886318e-02 2.722265e-19)	5
0.00775       	rho           	1.399704e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.970496e+00	(2.000217e-01 5.483071e-02 -2.554068e-20)	5
0.00775       	p             	9.999116e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.679602e+00	(2.038317e-01 5.583883e-02 3.587899e-19)	5
0.008         	rho           	1.399714e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.970095e+00	(1.885918e-01 5.180636e-02 -2.955173e-20)	2
0.008         	p             	9.997182e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.678961e+00	(1.885918e-01 5.180636e-02 -2.955173e-20)	2
0.00825       	rho           	1.399605e+00	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	4.969706e+00	(1.771619e-01 4.878201e-02 3.694466e-20)	2
0.00825       	p             	9.995328e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.678496e+00	(1.771619e-01 4.878201e-02 3.694466e-20)	2
0.0085        	rho           	1.399557e+00	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	4.969327e+00	(1.657320e-01 4.575766e-02 1.803200e-20)	2
0.0085        	p             	9.995002e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.678033e+00	(1.657320e-01 4.575766e-02 1.803200e-20)	2
0.00875       	rho           	1.399517e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.968960e+00	(1.543021e-01 4.273330e-02 2.226997e-20)	2
0.00875       	p             	9.995639e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.677574e+00	(1.543021e-01 4.273330e-02 2.226997e-20)	2
0.009         	rho           	1.399415e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.968637e+00	(1.390622e-01 3.870083e-02 1.298746e-19)	2
0.009         	p             	9.995430e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.677125e+00	(1.428722e-01 3.970895e-02 -1.955085e-20)	2
0.00925       	rho           	1.399318e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.968366e+00	(1.276323e-01 3.567647e-02 -5.839629e-20)	3
0.00925       	p             	9.994246e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.676680e+00	(1.314422e-01 3.668459e-02 -3.603178e-20)	2
0.0095        	rho           	1.399238e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.968105e+00	(1.162023e-01 3.265212e-02 -1.045320e-19)	3
0.0095        	p             	9.993375e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.676254e+00	(1.200123e-01 3.366024e-02 -1.437554e-19)	3
0.00975       	rho           	1.399184e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.967828e+00	(1.047724e-01 2.962776e-02 -3.939195e-19)	3
0.00975       	p             	9.992851e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.675794e+00	(1.085824e-01 3.063588e-02 1.749492e-19)	3
0.01          	rho           	1.399159e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.967568e+00	(9.334246e-02 2.660340e-02 -3.179633e-19)	3
0.01          	p             	9.992674e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.675413e+00	(9.715244e-02 2.761152e-02 1.005465e-20)	3
0.01025       	rho           	1.399165e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.968155e+00	(8.191252e-02 2.357904e-02 1.961826e-19)	3
0.01025       	p             	9.992831e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.676401e+00	(8.191252e-02 2.357904e-02 1.961826e-19)	3
0.0105        	rho           	1.399198e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.966464e+00	(7.810253e-02 2.257092e-02 6.373378e-20)	3
0.0105        	p             	9.993278e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.674740e+00	(7.810253e-02 2.257092e-02 6.373378e-20)	3
0.01075       	rho           	1.399251e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.960001e+00	(7.429255e-02 2.156280e-02 -1.576179e-19)	3
0.01075       	p             	9.993940e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.664017e+00	(7.429255e-02 2.156280e-02 -1.576179e-19)	3
0.011         	rho           	1.399317e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.949053e+00	(7.429255e-02 2.156280e-02 -1.576179e-19)	3
0.011         	p             	9.994722e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.644512e+00	(7.048257e-02 2.055468e-02 8.312764e-20)	8
0.01125       	rho           	1.399384e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.932971e+00	(7.429255e-02 2.156280e-02 -1.576179e-19)	3
0.01125       	p             	9.995315e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.614285e+00	(7.429255e-02 2.156280e-02 -1.576179e-19)	3
0.0115        	rho           	1.399445e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.911609e+00	(7.429255e-02 2.156280e-02 -1.576179e-19)	3
0.0115        	p             	9.995069e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.573882e+00	(7.429255e-02 2.156280e-02 -1.576179e-19)	3
0.01175       	rho           	1.399492e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.889529e+00	(4.000271e-02 1.248971e-02 5.385050e-20)	8
0.01175       	p             	9.995086e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.522844e+00	(7.429255e-02 2.156280e-02 -1.576179e-19)	3
0.012         	rho           	1.399519e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.918666e+00	(4.000271e-02 1.248971e-02 5.385050e-20)	8
0.012         	p             	9.995369e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.510207e+00	(4.000271e-02 1.248971e-02 5.385050e-20)	8
0.01225       	rho           	1.399525e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.942181e+00	(4.000271e-02 1.248971e-02 5.385050e-20)	8
0.01225       	p             	9.995898e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.558169e+00	(4.000271e-02 1.248971e-02 5.385050e-20)	8
0.0125        	rho           	1.399510e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.963251e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.0125        	p             	9.996625e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.610003e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.01275       	rho           	1.399476e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.987043e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.01275       	p             	9.996471e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.661423e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.013         	rho           	1.399430e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	5.006338e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.013         	p             	9.995877e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.703888e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.01325       	rho           	1.399378e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	5.023098e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.01325       	p             	9.994775e-01	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	6.740623e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.0135        	rho           	1.399326e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	5.037687e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.0135        	p             	9.992763e-01	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	6.772025e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.01375       	rho           	1.399240e+00	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	5.050099e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.01375       	p             	9.991207e-01	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	6.797920e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.014         	rho           	1.399134e+00	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	5.060400e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.014         	p             	9.990096e-01	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	6.818434e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.01425       	rho           	1.399109e+00	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	5.068607e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.01425       	p             	9.989958e-01	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	6.833757e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.0145        	rho           	1.399149e+00	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	5.074614e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
0.0145        	p             	9.990594e-01	(5.143266e-02 2.591047e-02 -2.354709e-20)	8	6.843877e+00	(4.381270e-02 1.349783e-02 8.446338e-20)	8
