# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.005         	rho           	1.399952e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	3.816562e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.005         	p             	9.999333e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.309741e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00525       	rho           	1.399882e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	3.907278e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00525       	p             	9.998491e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.474442e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0055        	rho           	1.399783e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	3.994327e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0055        	p             	9.997359e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.635799e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00575       	rho           	1.399664e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.077753e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00575       	p             	9.996044e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.793483e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.006         	rho           	1.399533e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.157614e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.006         	p             	9.994657e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.947181e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00625       	rho           	1.399400e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.233972e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00625       	p             	9.993288e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.096600e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0065        	rho           	1.399273e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.306846e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0065        	p             	9.992003e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.241382e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00675       	rho           	1.399155e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.376175e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00675       	p             	9.990841e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.381063e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.007         	rho           	1.399050e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.442035e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.007         	p             	9.989823e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.515400e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00725       	rho           	1.398960e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.504468e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00725       	p             	9.988955e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.644130e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0075        	rho           	1.398885e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.563509e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0075        	p             	9.988237e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.767008e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00775       	rho           	1.398824e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.619184e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00775       	p             	9.987660e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.883807e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.008         	rho           	1.398778e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.671509e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.008         	p             	9.987215e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.994312e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00825       	rho           	1.398744e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.720485e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00825       	p             	9.986891e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.098319e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0085        	rho           	1.398722e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.766101e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0085        	p             	9.986678e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.195636e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00875       	rho           	1.398711e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.808335e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00875       	p             	9.986568e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.286078e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.009         	rho           	1.398710e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.847154e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.009         	p             	9.986551e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.369470e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00925       	rho           	1.398720e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.882520e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00925       	p             	9.986621e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.445646e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0095        	rho           	1.398738e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.914385e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0095        	p             	9.986771e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.514458e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00975       	rho           	1.398765e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.942544e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00975       	p             	9.986996e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.575484e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.01          	rho           	1.398799e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.966923e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.01          	p             	9.987290e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.628550e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.01025       	rho           	1.398841e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	4.987572e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.01025       	p             	9.987647e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.673714e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0105        	rho           	1.398890e+00	(1.142132e-02 1.426081e-02 2.651029e-20)	5	5.004524e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0105        	p             	9.988059e-01	(1.142132e-02 1.426081e-02 2.651029e-20)	5	6.710912e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
