# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
1.4775          	rho             	1.57024635e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	9.14184164e+00	(9.12500000e-01 9.87500000e-01 -2.85105016e-20)	7
1.4775          	p               	1.19038068e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.69234476e+01	(9.12500000e-01 9.87500000e-01 -2.85105016e-20)	7
1.60625         	mag(U)          	4.33092279e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.10443542e+00	(2.86250000e+00 8.12500000e-01 1.51600175e-16)	10
1.60625         	rho             	1.56062412e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	9.25982539e+00	(8.87500000e-01 9.87500000e-01 1.91458057e-17)	7
1.60625         	p               	1.19386355e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.75546473e+01	(8.87500000e-01 9.87500000e-01 1.91458057e-17)	7
1.7375          	mag(U)          	4.30110235e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.08510546e+00	(2.98750000e+00 9.62500000e-01 1.87342104e-17)	10
1.7375          	rho             	2.07205903e-01	(7.12500000e-01 2.12500000e-01 5.31299220e-18)	5	8.87876322e+00	(8.62500000e-01 9.87500000e-01 2.05984358e-17)	7
1.7375          	p               	1.79014567e-01	(7.12500000e-01 2.12500000e-01 5.31299220e-18)	5	1.66907242e+01	(8.62500000e-01 9.87500000e-01 2.05984358e-17)	7
1.87            	mag(U)          	4.41762611e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06375874e+00	(3.37500000e-01 2.87500000e-01 3.69030295e-19)	1
1.87            	rho             	1.89250576e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	8.54036216e+00	(8.62500000e-01 9.87500000e-01 2.05984358e-17)	7
1.87            	p               	1.44589046e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.64040601e+01	(8.62500000e-01 9.87500000e-01 2.05984358e-17)	7
2.0013333       	mag(U)          	4.47045858e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06350664e+00	(3.87500000e-01 4.37500000e-01 2.16840434e-20)	1
2.0013333       	rho             	2.00131103e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	8.14383769e+00	(8.37500000e-01 9.87500000e-01 2.58602296e-19)	7
2.0013333       	p               	1.43209896e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.57348990e+01	(8.37500000e-01 9.87500000e-01 2.58602296e-19)	7
2.1346667       	mag(U)          	4.54538460e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06729699e+00	(3.37500000e-01 3.12500000e-01 1.93650555e-19)	0
2.1346667       	rho             	2.00335111e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	7.44002658e+00	(8.12500000e-01 9.87500000e-01 3.62270094e-17)	7
2.1346667       	p               	1.43296865e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.49952110e+01	(8.12500000e-01 9.87500000e-01 3.62270094e-17)	7
2.2653333       	mag(U)          	4.54605502e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07869998e+00	(3.37500000e-01 3.12500000e-01 1.93650555e-19)	0
2.2653333       	rho             	2.15862052e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	7.32836643e+00	(8.12500000e-01 9.62500000e-01 -1.93493948e-17)	7
2.2653333       	p               	1.45835434e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.40152758e+01	(8.12500000e-01 9.62500000e-01 -1.93493948e-17)	7
2.3946667       	mag(U)          	4.56860351e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.08401513e+00	(3.37500000e-01 3.12500000e-01 1.93650555e-19)	0
2.3946667       	rho             	2.45034470e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	7.10404321e+00	(8.12500000e-01 9.37500000e-01 -6.86661376e-20)	7
2.3946667       	p               	1.81113145e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.35475872e+01	(7.87500000e-01 9.62500000e-01 -1.82270447e-17)	7
2.524           	mag(U)          	4.55664582e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.08577854e+00	(3.37500000e-01 3.12500000e-01 1.93650555e-19)	0
2.524           	rho             	2.24930756e-01	(7.12500000e-01 2.12500000e-01 5.31299220e-18)	5	7.08298318e+00	(7.87500000e-01 9.37500000e-01 -7.46894830e-20)	7
2.524           	p               	1.84643273e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.30035235e+01	(7.87500000e-01 9.37500000e-01 -7.46894830e-20)	7
2.6546667       	mag(U)          	4.53119289e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.08672528e+00	(3.37500000e-01 3.12500000e-01 1.93650555e-19)	0
2.6546667       	rho             	2.23869620e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.87294945e+00	(7.62500000e-01 9.37500000e-01 -1.23317958e-18)	7
2.6546667       	p               	1.80342792e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.29643260e+01	(7.62500000e-01 9.37500000e-01 -1.23317958e-18)	7
2.78625         	mag(U)          	4.50974476e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.08755895e+00	(3.37500000e-01 3.12500000e-01 1.93650555e-19)	0
2.78625         	rho             	1.70309439e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.94111876e+00	(7.62500000e-01 9.12500000e-01 -7.77413113e-19)	7
2.78625         	p               	1.14668958e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.24819190e+01	(7.62500000e-01 9.37500000e-01 -1.23317958e-18)	7
2.9173333       	mag(U)          	4.50544467e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07275575e+00	(3.37500000e-01 3.12500000e-01 1.93650555e-19)	0
2.9173333       	rho             	1.87612186e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	6.77146412e+00	(7.37500000e-01 9.12500000e-01 1.62228770e-19)	7
2.9173333       	p               	1.23697202e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.24751012e+01	(7.37500000e-01 9.12500000e-01 1.62228770e-19)	7
3.048           	mag(U)          	4.50089632e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.05984726e+00	(3.62500000e-01 3.87500000e-01 -2.16539267e-19)	0
3.048           	rho             	2.29030021e-01	(6.62500000e-01 2.00000000e-01 -3.32488666e-19)	5	6.75031428e+00	(7.37500000e-01 8.87500000e-01 5.78241159e-20)	7
3.048           	p               	1.50277608e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.25636924e+01	(7.37500000e-01 9.12500000e-01 1.62228770e-19)	7
3.17875         	mag(U)          	4.47518148e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06313006e+00	(3.87500000e-01 4.62500000e-01 2.06988249e-17)	1
