# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.24            	rho             	1.93344022e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	5.79315409e+00	(4.53125000e-01 9.68750000e-02 -5.36077741e-20)	9
0.24            	p               	8.75982163e-03	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.30572757e+01	(4.84375000e-01 3.12500000e-03 -4.92910432e-20)	9
0.26            	mag(U)          	8.96685419e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.53793920e+00	(6.90625000e-01 2.15625000e-01 4.13201495e-19)	9
0.26            	rho             	2.96920737e-02	(6.34375000e-01 2.03125000e-01 -1.26490253e-20)	9	5.76565119e+00	(4.46875000e-01 1.03125000e-01 9.81403744e-19)	9
0.26            	p               	2.26376927e-02	(6.34375000e-01 2.03125000e-01 -1.26490253e-20)	9	1.28651800e+01	(4.84375000e-01 3.12500000e-03 -4.92910432e-20)	9
0.28            	mag(U)          	8.39968740e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.61800109e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.28            	rho             	2.34167771e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	5.73335806e+00	(4.40625000e-01 1.03125000e-01 -3.64753720e-18)	9
0.28            	p               	8.08768116e-03	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.27626530e+01	(5.21875000e-01 3.12500000e-03 4.86786698e-19)	9
0.3             	mag(U)          	8.03207911e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.53177492e+00	(6.84375000e-01 2.15625000e-01 2.16840434e-20)	9
0.3             	rho             	1.45652393e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	5.70746915e+00	(4.34375000e-01 1.03125000e-01 1.20727920e-18)	9
0.3             	p               	7.17111159e-03	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	1.27040173e+01	(5.21875000e-01 3.12500000e-03 4.86786698e-19)	9
0.32            	mag(U)          	9.59400204e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.57946977e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.32            	rho             	2.96664109e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	5.72076133e+00	(4.46875000e-01 3.12500000e-03 2.60911245e-19)	9
0.32            	p               	2.19084316e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	1.26511757e+01	(5.59375000e-01 3.12500000e-03 2.66372412e-18)	9
0.34            	mag(U)          	9.97784476e-03	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.54388713e+00	(6.53125000e-01 2.15625000e-01 2.47318562e-18)	9
0.34            	rho             	2.63569600e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	5.70335253e+00	(4.28125000e-01 3.12500000e-03 4.86786698e-19)	9
0.34            	p               	1.00166362e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.26659620e+01	(5.53125000e-01 3.12500000e-03 -1.68613516e-18)	9
0.36            	mag(U)          	1.01178654e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.61249322e+00	(6.84375000e-01 2.15625000e-01 2.16840434e-20)	9
0.36            	rho             	1.22487370e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	5.68863362e+00	(4.65625000e-01 3.12500000e-03 3.56782826e-19)	9
0.36            	p               	4.34106059e-03	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	1.25909263e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.38            	mag(U)          	8.82891820e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.58951680e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.38            	rho             	2.97344073e-02	(6.34375000e-01 2.00000000e-01 4.62592927e-19)	9	5.68819195e+00	(4.40625000e-01 3.12500000e-03 -1.90839660e-19)	9
0.38            	p               	2.05325281e-02	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	1.26752409e+01	(5.71875000e-01 3.12500000e-03 2.53020663e-18)	9
0.4             	mag(U)          	4.94087242e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.55702127e+00	(6.46875000e-01 2.09375000e-01 -7.70520398e-17)	9
0.4             	rho             	2.41325740e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	5.69286846e+00	(4.71875000e-01 3.12500000e-03 -3.42888976e-18)	9
0.4             	p               	9.29544011e-03	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.25222704e+01	(5.46875000e-01 9.37500000e-03 2.07403860e-19)	9
0.42            	mag(U)          	1.02245034e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.61078107e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.42            	rho             	1.33143787e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	5.69246465e+00	(4.53125000e-01 3.12500000e-03 -3.41784696e-18)	9
0.42            	p               	4.46703332e-03	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	1.27366617e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.44            	mag(U)          	6.58409958e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.59512342e+00	(6.96875000e-01 2.15625000e-01 -2.91871240e-18)	9
0.44            	rho             	2.89107305e-02	(6.40625000e-01 2.03125000e-01 7.52570829e-17)	9	5.74594913e+00	(4.71875000e-01 3.12500000e-03 -3.42888976e-18)	9
0.44            	p               	1.77716894e-02	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	1.27351967e+01	(5.65625000e-01 3.12500000e-03 2.66372412e-18)	9
0.46            	mag(U)          	1.07547465e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.58469036e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.46            	rho             	2.11334161e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	5.71306429e+00	(4.90625000e-01 7.18750000e-02 2.16840434e-20)	9
0.46            	p               	7.58782302e-03	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.27629531e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.48            	mag(U)          	1.06158752e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.68782297e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.48            	rho             	1.30572050e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	5.77346085e+00	(4.59375000e-01 3.12500000e-03 -4.32134877e-18)	9
0.48            	p               	4.76302723e-03	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	1.27120672e+01	(5.59375000e-01 3.12500000e-03 2.66372412e-18)	9
0.5             	mag(U)          	1.09805804e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.60510598e+00	(6.96875000e-01 2.15625000e-01 -2.91871240e-18)	9
0.5             	rho             	2.90885472e-02	(6.40625000e-01 2.03125000e-01 7.52570829e-17)	9	5.77126712e+00	(4.84375000e-01 4.06250000e-02 -3.13454895e-18)	9
0.5             	p               	1.54215855e-02	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	1.27421990e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.52            	mag(U)          	8.13412256e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.56701313e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.52            	rho             	2.03482583e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	5.77988188e+00	(4.53125000e-01 3.12500000e-03 -3.41784696e-18)	9
0.52            	p               	7.20647722e-03	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.26479015e+01	(5.59375000e-01 3.12500000e-03 2.66372412e-18)	9
0.54            	mag(U)          	1.10438265e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.69257622e+00	(6.71875000e-01 2.09375000e-01 -9.93249657e-19)	9
0.54            	rho             	1.21668688e-02	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	5.84134524e+00	(4.71875000e-01 3.12500000e-03 -3.42888976e-18)	9
0.54            	p               	4.84662632e-03	(6.28125000e-01 2.03125000e-01 1.73110947e-18)	9	1.26429056e+01	(5.96875000e-01 3.12500000e-03 3.08596063e-19)	9
0.56            	mag(U)          	5.87868680e-03	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.61215184e+00	(6.96875000e-01 2.15625000e-01 -2.91871240e-18)	9
0.56            	rho             	3.01632566e-02	(6.40625000e-01 2.03125000e-01 7.52570829e-17)	9	5.83470178e+00	(5.03125000e-01 3.12500000e-03 5.56155559e-20)	9
0.56            	p               	1.35975596e-02	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	1.25089743e+01	(5.65625000e-01 3.12500000e-03 2.66372412e-18)	9
0.58            	mag(U)          	1.11566124e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.59387947e+00	(6.59375000e-01 2.09375000e-01 1.78291024e-19)	9
0.58            	rho             	1.82177284e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	5.84482808e+00	(4.71875000e-01 3.12500000e-03 -3.42888976e-18)	9
0.58            	p               	6.07930137e-03	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.25660731e+01	(5.53125000e-01 3.12500000e-03 -1.68613516e-18)	9
0.6             	mag(U)          	1.15383102e-02	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.65171818e+00	(6.78125000e-01 2.09375000e-01 -1.63818933e-17)	9
