# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.24            	rho             	1.56190778e-02	(6.17187500e-01 2.00000000e-01 5.34873072e-19)	6	5.87303216e+00	(4.42187500e-01 1.71875000e-02 -5.55553224e-19)	7
0.24            	p               	7.88722177e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.31706597e+01	(4.42187500e-01 1.40625000e-02 6.13979675e-19)	7
0.26            	mag(U)          	3.99702938e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.74965441e+00	(6.45312500e-01 2.07812500e-01 -1.47568348e-16)	6
0.26            	rho             	6.33590943e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.83630627e+00	(4.35937500e-01 2.96875000e-02 6.49115856e-19)	7
0.26            	p               	2.02595217e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.28708131e+01	(4.35937500e-01 2.96875000e-02 6.49115856e-19)	7
0.28            	mag(U)          	4.36947503e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.71157012e+00	(6.29687500e-01 2.07812500e-01 1.42150952e-19)	6
0.28            	rho             	1.08551360e-02	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.81312185e+00	(4.29687500e-01 1.56250000e-03 -3.69030295e-19)	7
0.28            	p               	2.60506423e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.27218822e+01	(5.10937500e-01 1.56250000e-03 -2.76672332e-19)	7
0.3             	mag(U)          	4.65683914e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.73219984e+00	(6.32812500e-01 2.07812500e-01 -3.45784197e-17)	6
0.3             	rho             	1.72745963e-02	(6.23437500e-01 2.01562500e-01 3.54775044e-19)	6	5.73512128e+00	(4.45312500e-01 2.03125000e-02 4.08944997e-18)	7
0.3             	p               	5.74435591e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26510166e+01	(5.29687500e-01 1.56250000e-03 -3.69030295e-19)	7
0.32            	mag(U)          	4.73395403e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.73045055e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.32            	rho             	7.52149796e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.74471371e+00	(4.26562500e-01 4.68750000e-03 3.87863288e-18)	7
0.32            	p               	3.15832266e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	1.26102009e+01	(5.45312500e-01 1.56250000e-03 1.75018340e-18)	7
0.34            	mag(U)          	2.39861622e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.68694262e+00	(6.48437500e-01 2.07812500e-01 3.60824491e-17)	6
0.34            	rho             	8.45177029e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.72321621e+00	(4.39062500e-01 1.56250000e-03 -2.63621750e-19)	7
0.34            	p               	2.64324874e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.25822755e+01	(5.35937500e-01 1.56250000e-03 -3.69030295e-19)	7
0.36            	mag(U)          	4.92972464e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.80505978e+00	(6.29687500e-01 2.07812500e-01 1.42150952e-19)	6
0.36            	rho             	1.37018034e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	5.71372359e+00	(4.45312500e-01 1.56250000e-03 -1.90839660e-19)	7
0.36            	p               	3.55879110e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26022807e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.38            	mag(U)          	2.29037001e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.74151889e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.38            	rho             	1.13601433e-02	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.71319474e+00	(4.51562500e-01 1.56250000e-03 1.75018340e-18)	7
0.38            	p               	6.14067734e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26397633e+01	(5.85937500e-01 1.56250000e-03 3.09098008e-19)	7
0.4             	mag(U)          	4.94756359e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.77645835e+00	(6.45312500e-01 2.07812500e-01 -1.47568348e-16)	6
0.4             	rho             	5.57746681e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.71546026e+00	(4.54687500e-01 1.56250000e-03 3.68819478e-18)	7
0.4             	p               	2.05263665e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	1.26518113e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.42            	mag(U)          	2.61972789e-04	(5.95312500e-01 0.00000000e+00 3.90312782e-19)	7	3.77013722e+00	(6.32812500e-01 2.07812500e-01 -3.45784197e-17)	6
0.42            	rho             	8.79694031e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.72311971e+00	(4.51562500e-01 1.56250000e-03 1.75018340e-18)	7
0.42            	p               	1.86852680e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26472878e+01	(5.98437500e-01 4.21875000e-02 -2.05536623e-18)	7
0.44            	mag(U)          	1.07878460e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.72878871e+00	(6.57812500e-01 2.07812500e-01 4.23240404e-19)	6
0.44            	rho             	1.24700206e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	5.73018808e+00	(4.48437500e-01 1.56250000e-03 3.79310138e-18)	7
0.44            	p               	2.93595916e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26310383e+01	(5.82812500e-01 1.56250000e-03 -3.69030295e-19)	7
0.46            	mag(U)          	5.13543938e-04	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.75135917e+00	(6.23437500e-01 2.07812500e-01 -5.82658279e-19)	6
0.46            	rho             	1.01800654e-02	(6.20312500e-01 2.01562500e-01 -4.07178149e-19)	6	5.75183106e+00	(4.82812500e-01 3.90625000e-02 -1.94152500e-19)	7
0.46            	p               	5.27567368e-03	(6.20312500e-01 2.01562500e-01 -4.07178149e-19)	6	1.27189024e+01	(5.82812500e-01 1.56250000e-03 -3.69030295e-19)	7
0.48            	mag(U)          	2.04928107e-04	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.69605046e+00	(6.82812500e-01 2.10937500e-01 -5.20417043e-19)	3
0.48            	rho             	8.33198069e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.77628166e+00	(4.76562500e-01 2.65625000e-02 2.49828289e-18)	7
0.48            	p               	3.72638418e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.27305013e+01	(5.79687500e-01 1.56250000e-03 -8.59330611e-20)	7
0.5             	mag(U)          	5.94563655e-05	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.79767318e+00	(6.32812500e-01 2.07812500e-01 -3.45784197e-17)	6
0.5             	rho             	9.86384167e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	5.80570360e+00	(4.70312500e-01 1.56250000e-03 1.75078573e-19)	7
0.5             	p               	1.75409369e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26849091e+01	(5.79687500e-01 1.56250000e-03 -8.59330611e-20)	7
0.52            	mag(U)          	1.49174341e-04	(5.95312500e-01 0.00000000e+00 3.90312782e-19)	7	3.70286906e+00	(6.23437500e-01 2.10937500e-01 3.55979713e-19)	6
0.52            	rho             	1.55151388e-02	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.81472241e+00	(4.64062500e-01 1.56250000e-03 3.15964622e-18)	7
0.52            	p               	4.69446161e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.25754420e+01	(5.54687500e-01 4.53125000e-02 -6.61965660e-19)	7
0.54            	mag(U)          	4.16901080e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.76045532e+00	(6.45312500e-01 2.07812500e-01 -1.47568348e-16)	6
0.54            	rho             	5.44988881e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.83152737e+00	(4.89062500e-01 3.90625000e-02 -4.11535036e-18)	7
0.54            	p               	1.93743699e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	1.27097060e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.56            	mag(U)          	5.18395112e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.77659389e+00	(6.32812500e-01 2.10937500e-01 4.19224840e-19)	6
0.56            	rho             	8.74356789e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.87315697e+00	(4.89062500e-01 1.56250000e-03 3.08596063e-19)	7
0.56            	p               	2.41783966e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26895959e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.58            	mag(U)          	5.20236353e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.80985024e+00	(6.35937500e-01 2.07812500e-01 -3.76764271e-17)	6
0.58            	rho             	1.19932741e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	5.85124971e+00	(4.64062500e-01 1.56250000e-03 3.15964622e-18)	7
0.58            	p               	2.88452607e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26114098e+01	(5.73437500e-01 1.09375000e-02 -1.20607453e-18)	7
0.6             	mag(U)          	2.02890138e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.78862000e+00	(6.48437500e-01 2.07812500e-01 3.60824491e-17)	6
0.6             	rho             	1.09110407e-02	(6.20312500e-01 2.01562500e-01 -4.07178149e-19)	6	6.11507112e+00	(1.34218750e+00 9.98437500e-01 -5.92074173e-16)	1
0.6             	p               	5.93576926e-03	(6.20312500e-01 2.01562500e-01 -4.07178149e-19)	6	1.26279544e+01	(5.76562500e-01 1.56250000e-03 -3.69030295e-19)	7
0.62            	mag(U)          	4.02127325e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.75308803e+00	(6.45312500e-01 2.04687500e-01 -1.52759468e-16)	6
0.62            	rho             	7.58428790e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	6.49183620e+00	(1.28281250e+00 9.98437500e-01 -5.89591551e-16)	1
0.62            	p               	3.26235806e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	1.26189336e+01	(5.98437500e-01 4.68750000e-03 -3.16627190e-19)	7
0.64            	mag(U)          	5.50387299e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.80778785e+00	(6.35937500e-01 2.07812500e-01 -3.76764271e-17)	6
0.64            	rho             	8.57088244e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	6.75491766e+00	(1.24218750e+00 9.98437500e-01 3.37668743e-18)	1
0.64            	p               	1.77786546e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.25620742e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.66            	mag(U)          	5.52514914e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.77867814e+00	(6.26562500e-01 2.07812500e-01 -2.55731168e-18)	6
0.66            	rho             	1.36981713e-02	(6.20312500e-01 2.00000000e-01 1.18539438e-18)	6	7.00556261e+00	(1.20468750e+00 9.98437500e-01 -2.92852443e-16)	1
0.66            	p               	5.59204908e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26026269e+01	(5.73437500e-01 1.56250000e-03 9.86724366e-19)	7
0.68            	mag(U)          	2.81106842e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.71497157e+00	(6.70312500e-01 2.10937500e-01 3.37909677e-19)	3
0.68            	rho             	9.94284222e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	7.22044556e+00	(1.17656250e+00 9.98437500e-01 1.46943125e-16)	1
0.68            	p               	5.77847483e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	1.24707901e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.7             	mag(U)          	5.74738154e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.78029618e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.7             	rho             	6.73276709e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	7.41063403e+00	(1.15156250e+00 9.98437500e-01 -2.68279804e-18)	1
0.7             	p               	1.56022897e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.25341509e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.72            	mag(U)          	5.66563718e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.73048313e+00	(6.29687500e-01 2.10937500e-01 8.17769528e-19)	6
0.72            	rho             	1.19672452e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	7.63530301e+00	(1.12968750e+00 9.98437500e-01 1.46943125e-16)	1
0.72            	p               	2.68893505e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.25229241e+01	(5.70312500e-01 1.56250000e-03 -3.69030295e-19)	7
0.74            	mag(U)          	3.68612606e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.73787457e+00	(6.70312500e-01 2.10937500e-01 3.37909677e-19)	3
0.74            	rho             	9.45976365e-03	(6.20312500e-01 2.01562500e-01 -4.07178149e-19)	6	7.76359597e+00	(1.11093750e+00 9.98437500e-01 1.44439421e-16)	1
0.74            	p               	5.99476303e-03	(6.20312500e-01 2.01562500e-01 -4.07178149e-19)	6	1.24930707e+01	(1.11093750e+00 9.98437500e-01 1.44439421e-16)	1
0.76            	mag(U)          	5.82165232e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.74651179e+00	(6.35937500e-01 2.07812500e-01 -3.76764271e-17)	6
0.76            	rho             	6.24434365e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	7.90546172e+00	(1.09531250e+00 9.98437500e-01 -5.56155559e-20)	0
0.76            	p               	1.38859888e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.29012737e+01	(1.09531250e+00 9.98437500e-01 -5.56155559e-20)	0
0.78            	mag(U)          	4.47404492e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.73345832e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.78            	rho             	1.05295761e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	8.05988839e+00	(1.07968750e+00 9.98437500e-01 1.45624012e-16)	0
0.78            	p               	2.15468344e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.33224448e+01	(1.07968750e+00 9.98437500e-01 1.45624012e-16)	0
0.8             	mag(U)          	5.88992588e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.78056777e+00	(6.54687500e-01 2.07812500e-01 -6.36868387e-19)	6
0.8             	rho             	8.98066223e-03	(6.20312500e-01 2.01562500e-01 -4.07178149e-19)	6	8.20928453e+00	(1.06406250e+00 9.98437500e-01 1.44439421e-16)	0
0.8             	p               	5.00478741e-03	(6.20312500e-01 2.01562500e-01 -4.07178149e-19)	6	1.36747946e+01	(1.06406250e+00 9.98437500e-01 1.44439421e-16)	0
0.82            	mag(U)          	5.87588273e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.76127989e+00	(6.35937500e-01 2.07812500e-01 -3.76764271e-17)	6
0.82            	rho             	7.77358780e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	8.30850677e+00	(1.05156250e+00 9.98437500e-01 1.50548097e-16)	0
0.82            	p               	3.36284235e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.39662693e+01	(1.05156250e+00 9.98437500e-01 1.50548097e-16)	0
