# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.24            	rho             	9.42434318e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.67213736e+00	(4.56250000e-01 1.06250000e-01 1.66204177e-18)	14
0.24            	p               	7.75918272e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.29376246e+01	(5.18750000e-01 6.25000000e-03 4.29564916e-19)	14
0.26            	mag(U)          	1.24709629e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.31171438e+00	(7.68750000e-01 2.43750000e-01 -9.27595192e-20)	11
0.26            	rho             	8.34325560e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.73591350e+00	(4.43750000e-01 4.37500000e-02 -1.39681380e-18)	14
0.26            	p               	6.58413281e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.27891685e+01	(5.56250000e-01 6.25000000e-03 4.86786698e-19)	14
0.28            	mag(U)          	1.89320882e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.32268135e+00	(7.68750000e-01 2.43750000e-01 -9.27595192e-20)	11
0.28            	rho             	9.62366914e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	5.65310431e+00	(4.43750000e-01 6.25000000e-03 -5.85870730e-19)	14
0.28            	p               	8.62924247e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.27684459e+01	(5.18750000e-01 6.25000000e-03 4.29564916e-19)	14
0.3             	mag(U)          	1.14878926e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.33096554e+00	(7.68750000e-01 2.43750000e-01 -9.27595192e-20)	11
0.3             	rho             	6.97458452e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	5.73038598e+00	(4.43750000e-01 6.25000000e-03 -5.85870730e-19)	14
0.3             	p               	6.01902452e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.27656857e+01	(5.56250000e-01 6.25000000e-03 4.86786698e-19)	14
0.32            	mag(U)          	1.96954894e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.35403979e+00	(7.06250000e-01 2.18750000e-01 1.19724029e-18)	11
0.32            	rho             	5.86737904e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.64277298e+00	(4.68750000e-01 1.87500000e-02 1.55201533e-19)	14
0.32            	p               	4.37960685e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.27487727e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.34            	mag(U)          	9.40733125e-03	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.36781341e+00	(7.06250000e-01 2.18750000e-01 1.19724029e-18)	11
0.34            	rho             	6.47413370e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.68590279e+00	(4.31250000e-01 6.25000000e-03 5.91693297e-19)	14
0.34            	p               	5.19850045e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.26234854e+01	(5.43750000e-01 6.25000000e-03 4.86786698e-19)	14
0.36            	mag(U)          	2.03438346e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.40390322e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.36            	rho             	4.56477693e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.69566752e+00	(4.56250000e-01 6.25000000e-03 -8.68466018e-19)	14
0.36            	p               	2.65971765e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.24943085e+01	(5.68750000e-01 6.25000000e-03 5.56155559e-20)	14
0.38            	mag(U)          	2.14609565e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.45006148e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.38            	rho             	7.18089931e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.68857797e+00	(4.81250000e-01 6.25000000e-03 2.85105016e-20)	14
0.38            	p               	3.97007047e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.27018988e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.4             	mag(U)          	1.33422088e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.37131692e+00	(6.81250000e-01 2.18750000e-01 8.06887350e-18)	11
0.4             	rho             	7.26692462e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	5.64791907e+00	(4.81250000e-01 5.62500000e-02 -3.66821735e-19)	14
0.4             	p               	6.23178682e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.26376126e+01	(5.43750000e-01 6.25000000e-03 4.86786698e-19)	14
0.42            	mag(U)          	2.12849039e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.38868831e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.42            	rho             	4.98406689e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.66963566e+00	(4.43750000e-01 6.25000000e-03 -5.85870730e-19)	14
0.42            	p               	3.25086908e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.25084533e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.44            	mag(U)          	2.21816195e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.44634689e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.44            	rho             	8.62698504e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	5.72324793e+00	(4.81250000e-01 6.25000000e-03 2.85105016e-20)	14
0.44            	p               	6.39144244e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.27787260e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.46            	mag(U)          	1.43416012e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.40308137e+00	(7.56250000e-01 2.31250000e-01 3.17229525e-20)	11
0.46            	rho             	4.86695466e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	5.76082140e+00	(4.68750000e-01 6.25000000e-03 3.08596063e-19)	14
0.46            	p               	3.76161549e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.24997741e+01	(5.56250000e-01 6.25000000e-03 4.86786698e-19)	14
0.48            	mag(U)          	2.21818267e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.43911825e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.48            	rho             	4.80959894e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.75616253e+00	(5.06250000e-01 6.25000000e-03 -4.92910432e-20)	14
0.48            	p               	2.49557673e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.25658813e+01	(5.31250000e-01 6.25000000e-03 5.91693297e-19)	14
0.5             	mag(U)          	2.27113130e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.44010494e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.5             	rho             	8.21714032e-02	(6.68750000e-01 2.06250000e-01 2.25473896e-19)	11	5.74400717e+00	(4.93750000e-01 6.25000000e-03 -4.69027868e-18)	14
0.5             	p               	6.38341455e-02	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.25752588e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.52            	mag(U)          	2.34059131e-02	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.40114247e+00	(7.56250000e-01 2.31250000e-01 3.17229525e-20)	11
0.52            	rho             	5.08346082e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	5.78088726e+00	(4.68750000e-01 6.25000000e-03 3.08596063e-19)	14
0.52            	p               	4.21466176e-02	(6.56250000e-01 2.06250000e-01 -6.03338431e-20)	14	1.26652897e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.54            	mag(U)          	2.01641977e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.44498641e+00	(7.18750000e-01 2.18750000e-01 -2.04191409e-19)	11
0.54            	rho             	5.60836147e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.76803645e+00	(4.43750000e-01 6.25000000e-03 -5.85870730e-19)	14
0.54            	p               	3.87990922e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.25224385e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
